delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
0,naive,worlds/l/grasp_easy.json,1,0.6911657212476712,0.93261725,27.978516,0.9633789,0.9199219
0,naive,worlds/l/catapult.json,1,0.6911657212476712,7.0977545,212.93262,0.21826172,0.1899414
0,naive,worlds/l/cartpole_thrust.json,1,0.6911657212476712,1.4984539,44.953613,1.0,1.0
0,discrete_rtc,worlds/l/grasp_easy.json,1,0.7181004748505074,0.93294275,27.988281,0.96240234,0.9189453
0,discrete_rtc,worlds/l/catapult.json,1,0.7181004748505074,7.094711,212.84131,0.21875,0.19042969
0,discrete_rtc,worlds/l/cartpole_thrust.json,1,0.7181004748505074,1.4984539,44.953613,1.0,1.0
0,bid,worlds/l/grasp_easy.json,1,1.4447514015482739,0.9990886,29.972656,0.93066406,0.8935547
0,bid,worlds/l/catapult.json,1,1.4447514015482739,7.071908,212.15723,0.22167969,0.19433594
0,bid,worlds/l/cartpole_thrust.json,1,1.4447514015482739,1.5057944,45.17383,1.0,1.0
1,naive,worlds/l/grasp_easy.json,1,0.6863888617488556,0.9975424,29.92627,0.66015625,0.72558594
1,naive,worlds/l/catapult.json,1,0.6863888617488556,8.026107,240.7832,0.080078125,0.068359375
1,naive,worlds/l/cartpole_thrust.json,1,0.6863888617488556,1.4802573,44.407715,0.9868164,0.99072266
1,discrete_rtc,worlds/l/grasp_easy.json,1,0.7066496112965979,1.2109538,36.328613,0.9033203,0.88183594
1,discrete_rtc,worlds/l/catapult.json,1,0.7066496112965979,8.45752,253.72559,0.011230469,0.011230469
1,discrete_rtc,worlds/l/cartpole_thrust.json,1,0.7066496112965979,1.486198,44.585938,0.99902344,0.99902344
1,bid,worlds/l/grasp_easy.json,1,1.2469246314489282,1.0495769,31.487305,0.84375,0.8359375
1,bid,worlds/l/catapult.json,1,1.2469246314489282,7.9300785,237.90234,0.09375,0.07910156
1,bid,worlds/l/cartpole_thrust.json,1,1.2469246314489282,1.4813477,44.44043,0.9951172,0.99609375
2,naive,worlds/l/grasp_easy.json,2,0.7038256913539953,1.0736817,32.21045,0.5883789,0.6694336
2,naive,worlds/l/catapult.json,2,0.7038256913539953,8.285662,248.56982,0.037109375,0.032714844
2,naive,worlds/l/cartpole_thrust.json,2,0.7038256913539953,1.5378419,46.135254,0.90234375,0.9321289
2,discrete_rtc,worlds/l/grasp_easy.json,2,0.7024984608986415,1.2273276,36.819824,0.81347656,0.82714844
2,discrete_rtc,worlds/l/catapult.json,2,0.7024984608986415,8.533334,256.0,0.0,0.0
2,discrete_rtc,worlds/l/cartpole_thrust.json,2,0.7024984608986415,1.4804038,44.41211,0.99609375,0.9970703
2,bid,worlds/l/grasp_easy.json,2,1.260845794249326,1.1150717,33.45215,0.67041016,0.7348633
2,bid,worlds/l/catapult.json,2,1.260845794249326,8.402654,252.07959,0.01953125,0.019042969
2,bid,worlds/l/cartpole_thrust.json,2,1.260845794249326,1.5440267,46.3208,0.88916016,0.92822266
3,naive,worlds/l/grasp_easy.json,3,0.8046940751024522,1.1917481,35.75244,0.6069336,0.69091797
3,naive,worlds/l/catapult.json,3,0.8046940751024522,8.533334,256.0,0.0,0.0
3,naive,worlds/l/cartpole_thrust.json,3,0.8046940751024522,2.5486329,76.458984,0.22363281,0.4868164
3,discrete_rtc,worlds/l/grasp_easy.json,3,0.7582238948496525,1.2638509,37.915527,0.7602539,0.7919922
3,discrete_rtc,worlds/l/catapult.json,3,0.7582238948496525,8.533334,256.0,0.0,0.0
3,discrete_rtc,worlds/l/cartpole_thrust.json,3,0.7582238948496525,1.5957683,47.873047,0.97802734,0.9848633
3,bid,worlds/l/grasp_easy.json,3,1.3862812258535997,1.1955241,35.865723,0.60839844,0.6904297
3,bid,worlds/l/catapult.json,3,1.3862812258535997,8.530209,255.90625,0.00048828125,0.00048828125
3,bid,worlds/l/cartpole_thrust.json,3,1.3862812258535997,2.511361,75.34082,0.22509766,0.4873047
4,naive,worlds/l/grasp_easy.json,4,0.8241431999020279,1.2694336,38.083008,0.5595703,0.6508789
4,naive,worlds/l/catapult.json,4,0.8241431999020279,8.533334,256.0,0.0,0.0
4,naive,worlds/l/cartpole_thrust.json,4,0.8241431999020279,1.4984864,44.95459,0.00390625,0.328125
4,discrete_rtc,worlds/l/grasp_easy.json,4,0.7159273513534572,1.179069,35.37207,0.6665039,0.7421875
4,discrete_rtc,worlds/l/catapult.json,4,0.7159273513534572,8.533334,256.0,0.0,0.0
4,discrete_rtc,worlds/l/cartpole_thrust.json,4,0.7159273513534572,1.8572755,55.71826,0.7866211,0.86083984
4,bid,worlds/l/grasp_easy.json,4,1.2043462174478918,1.3043783,39.131348,0.55615234,0.64501953
4,bid,worlds/l/catapult.json,4,1.2043462174478918,8.533334,256.0,0.0,0.0
4,bid,worlds/l/cartpole_thrust.json,4,1.2043462174478918,1.5107911,45.32373,-0.0087890625,0.3256836
0,naive,worlds/l/hard_lunar_lander.json,1,0.7270140505977907,1.4484539,43.453613,0.8383789,0.7832031
0,naive,worlds/l/mjc_half_cheetah.json,1,0.7270140505977907,1.8756186,56.268555,0.99365234,0.95166016
0,naive,worlds/l/mjc_swimmer.json,1,0.7270140505977907,5.6643233,169.92969,0.9863281,0.82470703
0,discrete_rtc,worlds/l/hard_lunar_lander.json,1,0.7269445225480012,1.4484539,43.453613,0.8383789,0.7832031
0,discrete_rtc,worlds/l/mjc_half_cheetah.json,1,0.7269445225480012,1.8753744,56.26123,0.99365234,0.95214844
0,discrete_rtc,worlds/l/mjc_swimmer.json,1,0.7269445225480012,5.6643233,169.92969,0.9863281,0.82470703
0,bid,worlds/l/hard_lunar_lander.json,1,1.4096750407014043,1.4282553,42.847656,0.79785156,0.78125
0,bid,worlds/l/mjc_half_cheetah.json,1,1.4096750407014043,1.8734213,56.202637,0.9892578,0.9355469
0,bid,worlds/l/mjc_swimmer.json,1,1.4096750407014043,8.297575,248.92725,0.1381836,0.115722656
1,naive,worlds/l/hard_lunar_lander.json,1,0.7072078808501828,1.4633952,43.901855,0.7573242,0.7416992
1,naive,worlds/l/mjc_half_cheetah.json,1,0.7072078808501828,2.022868,60.686035,0.98828125,0.9086914
1,naive,worlds/l/mjc_swimmer.json,1,0.7072078808501828,8.524447,255.7334,0.011230469,0.009277344
1,discrete_rtc,worlds/l/hard_lunar_lander.json,1,0.7110652413510252,1.4347657,43.04297,0.8520508,0.86328125
1,discrete_rtc,worlds/l/mjc_half_cheetah.json,1,0.7110652413510252,1.9050456,57.151367,0.9926758,0.9370117
1,discrete_rtc,worlds/l/mjc_swimmer.json,1,0.7110652413510252,8.533334,256.0,0.0,0.0
1,bid,worlds/l/hard_lunar_lander.json,1,1.17984693304752,1.4343588,43.03076,0.70654297,0.7060547
1,bid,worlds/l/mjc_half_cheetah.json,1,1.17984693304752,2.0058432,60.175293,0.98828125,0.9296875
1,bid,worlds/l/mjc_swimmer.json,1,1.17984693304752,8.51517,255.45508,0.01171875,0.009277344
2,naive,worlds/l/hard_lunar_lander.json,2,0.7132884565973654,1.4680339,44.041016,0.63427734,0.64990234
2,naive,worlds/l/mjc_half_cheetah.json,2,0.7132884565973654,2.2665854,67.99756,0.95996094,0.8803711
2,naive,worlds/l/mjc_swimmer.json,2,0.7132884565973654,8.505078,255.15234,0.025390625,0.021972656
2,discrete_rtc,worlds/l/hard_lunar_lander.json,2,0.7068588448513765,1.4341798,43.02539,0.8261719,0.8486328
2,discrete_rtc,worlds/l/mjc_half_cheetah.json,2,0.7068588448513765,2.2100263,66.30078,0.9326172,0.875
2,discrete_rtc,worlds/l/mjc_swimmer.json,2,0.7068588448513765,8.52907,255.87207,0.0029296875,0.0014648438
2,bid,worlds/l/hard_lunar_lander.json,2,1.1909401843964589,1.4402833,43.208496,0.6040039,0.6352539
2,bid,worlds/l/mjc_half_cheetah.json,2,1.1909401843964589,2.313135,69.39404,0.95410156,0.88378906
2,bid,worlds/l/mjc_swimmer.json,2,1.1909401843964589,8.492514,254.77539,0.032226562,0.026855469
3,naive,worlds/l/hard_lunar_lander.json,3,0.7042607781477273,1.4514649,43.543945,0.5371094,0.57128906
3,naive,worlds/l/mjc_half_cheetah.json,3,0.7042607781477273,3.3855307,101.56592,0.75927734,0.72216797
3,naive,worlds/l/mjc_swimmer.json,3,0.7042607781477273,8.516147,255.48438,0.016601562,0.013183594
3,discrete_rtc,worlds/l/hard_lunar_lander.json,3,0.7177927814016585,1.4177735,42.533203,0.7734375,0.8051758
3,discrete_rtc,worlds/l/mjc_half_cheetah.json,3,0.7177927814016585,2.6062338,78.18701,0.796875,0.78466797
3,discrete_rtc,worlds/l/mjc_swimmer.json,3,0.7177927814016585,8.500619,255.01855,0.022460938,0.020019531
3,bid,worlds/l/hard_lunar_lander.json,3,1.2473580267978832,1.4281902,42.845703,0.5341797,0.57373047
3,bid,worlds/l/mjc_half_cheetah.json,3,1.2473580267978832,3.2451663,97.35498,0.77246094,0.7368164
3,bid,worlds/l/mjc_swimmer.json,3,1.2473580267978832,8.505697,255.1709,0.026855469,0.022460938
4,naive,worlds/l/hard_lunar_lander.json,4,0.736767124151811,1.4952149,44.856445,0.5209961,0.60791016
4,naive,worlds/l/mjc_half_cheetah.json,4,0.736767124151811,4.4405437,133.21631,0.5283203,0.53125
4,naive,worlds/l/mjc_swimmer.json,4,0.736767124151811,8.515479,255.46436,0.015136719,0.012207031
4,discrete_rtc,worlds/l/hard_lunar_lander.json,4,0.7257851198955905,1.4235516,42.706543,0.75927734,0.7866211
4,discrete_rtc,worlds/l/mjc_half_cheetah.json,4,0.7257851198955905,2.6739585,80.21875,0.78759766,0.7661133
4,discrete_rtc,worlds/l/mjc_swimmer.json,4,0.7257851198955905,8.487305,254.61914,0.036132812,0.03125
4,bid,worlds/l/hard_lunar_lander.json,4,1.1637806508515496,1.4758139,44.274414,0.48779297,0.5883789
4,bid,worlds/l/mjc_half_cheetah.json,4,1.1637806508515496,3.9485679,118.45703,0.58740234,0.57910156
4,bid,worlds/l/mjc_swimmer.json,4,1.1637806508515496,8.5085945,255.25781,0.020507812,0.018066406
0,naive,worlds/l/mjc_walker.json,1,0.7006016418454237,5.7372723,172.11816,0.90722656,0.80566406
0,naive,worlds/l/h17_unicycle.json,1,0.7006016418454237,2.5683107,77.04932,0.96728516,0.95654297
0,naive,worlds/l/chain_lander.json,1,0.7006016418454237,1.5546876,46.640625,0.99316406,0.92578125
0,discrete_rtc,worlds/l/mjc_walker.json,1,0.7193065251514781,5.7325687,171.97705,0.9082031,0.79785156
0,discrete_rtc,worlds/l/h17_unicycle.json,1,0.7193065251514781,2.5683107,77.04932,0.96728516,0.95654297
0,discrete_rtc,worlds/l/chain_lander.json,1,0.7193065251514781,1.5546876,46.640625,0.99316406,0.92578125
0,bid,worlds/l/mjc_walker.json,1,1.420753712550504,5.5256515,165.76953,0.95703125,0.86083984
0,bid,worlds/l/h17_unicycle.json,1,1.420753712550504,2.4690595,74.07178,0.99609375,0.99072266
0,bid,worlds/l/chain_lander.json,1,1.420753712550504,1.5586264,46.75879,0.99121094,0.9272461
1,naive,worlds/l/mjc_walker.json,1,0.7013661256467458,5.8294764,174.88428,0.7973633,0.71972656
