returned_episode_lengths,returned_episode_returns,returned_episode_solved,delay,method,level,execute_horizon
35.280273,0.98828125,0.96435547,0,naive,worlds/l/grasp_easy.json,1
115.802734,0.6796875,0.6665039,0,naive,worlds/l/catapult.json,1
50.215332,0.9995117,0.99902344,0,naive,worlds/l/cartpole_thrust.json,1
46.027832,0.97998047,0.9428711,0,naive,worlds/l/hard_lunar_lander.json,1
66.90723,0.9916992,0.90234375,0,naive,worlds/l/mjc_half_cheetah.json,1
149.81982,1.0,0.89746094,0,naive,worlds/l/mjc_swimmer.json,1
193.67432,0.7441406,0.6645508,0,naive,worlds/l/mjc_walker.json,1
81.634766,0.99902344,0.99902344,0,naive,worlds/l/h17_unicycle.json,1
48.54541,0.9975586,0.94628906,0,naive,worlds/l/chain_lander.json,1
68.27197,0.9951172,0.98291016,0,naive,worlds/l/catcher_v3.json,1
174.29346,0.76416016,0.8154297,0,naive,worlds/l/trampoline.json,1
48.331543,0.9892578,0.9716797,0,naive,worlds/l/car_launch.json,1
35.282715,0.99072266,0.96728516,0,realtime,worlds/l/grasp_easy.json,1
115.21045,0.6826172,0.67041016,0,realtime,worlds/l/catapult.json,1
50.215332,0.9995117,0.99902344,0,realtime,worlds/l/cartpole_thrust.json,1
46.027832,0.97998047,0.9428711,0,realtime,worlds/l/hard_lunar_lander.json,1
66.970215,0.9921875,0.9042969,0,realtime,worlds/l/mjc_half_cheetah.json,1
149.81982,1.0,0.89746094,0,realtime,worlds/l/mjc_swimmer.json,1
193.45166,0.74658203,0.66015625,0,realtime,worlds/l/mjc_walker.json,1
81.634766,0.99902344,0.99902344,0,realtime,worlds/l/h17_unicycle.json,1
48.54541,0.9975586,0.94628906,0,realtime,worlds/l/chain_lander.json,1
68.262695,0.9946289,0.98535156,0,realtime,worlds/l/catcher_v3.json,1
174.30664,0.7651367,0.8154297,0,realtime,worlds/l/trampoline.json,1
48.270508,0.9897461,0.9711914,0,realtime,worlds/l/car_launch.json,1
35.160156,0.99121094,0.97216797,0,bid,worlds/l/grasp_easy.json,1
96.98682,0.7705078,0.75439453,0,bid,worlds/l/catapult.json,1
49.427734,0.9995117,0.9995117,0,bid,worlds/l/cartpole_thrust.json,1
45.8125,0.97753906,0.93847656,0,bid,worlds/l/hard_lunar_lander.json,1
74.17285,0.9921875,0.875,0,bid,worlds/l/mjc_half_cheetah.json,1
145.20068,1.0,0.90283203,0,bid,worlds/l/mjc_swimmer.json,1
174.5415,0.9165039,0.8276367,0,bid,worlds/l/mjc_walker.json,1
81.697266,1.0,1.0,0,bid,worlds/l/h17_unicycle.json,1
48.97998,0.99853516,0.94970703,0,bid,worlds/l/chain_lander.json,1
67.02588,0.9946289,0.9716797,0,bid,worlds/l/catcher_v3.json,1
172.37012,0.8178711,0.84375,0,bid,worlds/l/trampoline.json,1
46.560547,0.99560547,0.96728516,0,bid,worlds/l/car_launch.json,1
35.308594,0.99121094,0.96435547,0,hard_masking,worlds/l/grasp_easy.json,1
115.01123,0.68359375,0.67041016,0,hard_masking,worlds/l/catapult.json,1
