delay,method,level,execute_horizon,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
0,naive,worlds/l/grasp_easy.json,1,0.93042,27.912598,0.9980469,0.9584961
0,naive,worlds/l/catapult.json,1,3.4594402,103.7832,0.7392578,0.7182617
0,discrete_rtc,worlds/l/grasp_easy.json,1,0.9304037,27.91211,0.9980469,0.9584961
0,discrete_rtc,worlds/l/catapult.json,1,3.4594402,103.7832,0.7392578,0.7182617
0,bid,worlds/l/grasp_easy.json,1,0.9452963,28.358887,0.99902344,0.96728516
0,bid,worlds/l/catapult.json,1,3.7716799,113.15039,0.69384766,0.67871094
1,naive,worlds/l/grasp_easy.json,1,0.9677084,29.03125,0.7709961,0.8046875
1,naive,worlds/l/catapult.json,1,6.577979,197.33936,0.28857422,0.2758789
1,discrete_rtc,worlds/l/grasp_easy.json,1,0.9566244,28.69873,0.99902344,0.96191406
1,discrete_rtc,worlds/l/catapult.json,1,3.7573245,112.71973,0.69628906,0.68408203
1,bid,worlds/l/grasp_easy.json,1,0.9559245,28.677734,0.9746094,0.9501953
1,bid,worlds/l/catapult.json,1,5.6182785,168.54834,0.4267578,0.41455078
2,naive,worlds/l/grasp_easy.json,2,0.9601563,28.804688,0.7373047,0.7963867
2,naive,worlds/l/catapult.json,2,6.646322,199.38965,0.28125,0.26757812
2,discrete_rtc,worlds/l/grasp_easy.json,2,0.98071295,29.421387,0.9765625,0.9428711
2,discrete_rtc,worlds/l/catapult.json,2,4.7498865,142.49658,0.55371094,0.5361328
2,bid,worlds/l/grasp_easy.json,2,0.96339524,28.901855,0.9194336,0.9086914
2,bid,worlds/l/catapult.json,2,6.310352,189.31055,0.328125,0.31591797
3,naive,worlds/l/grasp_easy.json,3,1.0082031,30.246094,0.7524414,0.78271484
3,naive,worlds/l/catapult.json,3,6.3770676,191.31201,0.31933594,0.3022461
3,discrete_rtc,worlds/l/grasp_easy.json,3,1.0118327,30.35498,0.9394531,0.92041016
3,discrete_rtc,worlds/l/catapult.json,3,5.250261,157.50781,0.47998047,0.46679688
3,bid,worlds/l/grasp_easy.json,3,0.98538417,29.561523,0.859375,0.86083984
3,bid,worlds/l/catapult.json,3,6.3885584,191.65674,0.3173828,0.2998047
4,naive,worlds/l/grasp_easy.json,4,1.007308,30.219238,0.7392578,0.7788086
4,naive,worlds/l/catapult.json,4,6.568555,197.05664,0.29248047,0.27539062
4,discrete_rtc,worlds/l/grasp_easy.json,4,1.1180828,33.54248,0.85546875,0.8696289
4,discrete_rtc,worlds/l/catapult.json,4,5.8761883,176.28564,0.39257812,0.37353516
4,bid,worlds/l/grasp_easy.json,4,0.99326175,29.797852,0.79248047,0.81884766
4,bid,worlds/l/catapult.json,4,6.3929367,191.78809,0.3173828,0.30273438
0,naive,worlds/l/cartpole_thrust.json,1,1.4394532,43.183594,0.9975586,0.99853516
0,naive,worlds/l/hard_lunar_lander.json,1,1.4481283,43.443848,0.9892578,0.9584961
0,discrete_rtc,worlds/l/cartpole_thrust.json,1,1.4394532,43.183594,0.9975586,0.99853516
0,discrete_rtc,worlds/l/hard_lunar_lander.json,1,1.4481283,43.443848,0.9892578,0.9584961
0,bid,worlds/l/cartpole_thrust.json,1,1.45542,43.662598,0.99853516,0.99853516
0,bid,worlds/l/hard_lunar_lander.json,1,1.435254,43.057617,0.99072266,0.96484375
1,naive,worlds/l/cartpole_thrust.json,1,1.4354492,43.063477,0.95654297,0.96972656
1,naive,worlds/l/hard_lunar_lander.json,1,1.4610353,43.831055,0.9848633,0.95410156
1,discrete_rtc,worlds/l/cartpole_thrust.json,1,1.4624676,43.874023,0.9970703,0.9970703
1,discrete_rtc,worlds/l/hard_lunar_lander.json,1,1.4441407,43.32422,0.9848633,0.9536133
1,bid,worlds/l/cartpole_thrust.json,1,1.4438478,43.31543,0.9614258,0.9765625
1,bid,worlds/l/hard_lunar_lander.json,1,1.4557781,43.67334,0.9868164,0.9580078
2,naive,worlds/l/cartpole_thrust.json,2,1.5377605,46.132812,0.8774414,0.91796875
2,naive,worlds/l/hard_lunar_lander.json,2,1.4788575,44.365723,0.94970703,0.93603516
2,discrete_rtc,worlds/l/cartpole_thrust.json,2,1.4684896,44.054688,0.98828125,0.9916992
